PTS,AST,REB,FG_PCT,MIN
4,1,1,0.167,12.683333333333334
2,1,2,0.5,8.55
2,0,3,0.333,5.733333333333333
3,0,0,0.5,5.733333333333333
2,0,0,0.2,11.466666666666667
0,0,1,0.0,5.733333333333333
0,0,1,0.0,0.905
0,0,0,0.0,4.933333333333334
0,0,0,0.0,5.216666666666667
0,0,0,0.0,0.905
0,0,0,0.0,0.905
0,0,0,0.0,0.905
47,9,6,0.8,41.61666666666667
30,17,17,0.579,41.928333333333335
39,8,9,0.387,43.35166666666667
30,3,13,0.474,39.358333333333334
27,5,10,0.5,42.61666666666667
32,5,6,0.448,40.88333333333333
21,0,12,0.5,36.58
23,5,7,0.444,34.025
16,11,6,0.214,40.81666666666667
14,1,8,0.4,30.166666666666668
17,2,7,0.75,31.096666666666668
15,4,3,0.333,34.5
13,2,6,0.25,40.105
15,6,3,0.333,26.166666666666668
13,2,6,0.444,32.47833333333333
9,1,7,0.231,39.11833333333333
11,3,3,0.364,23.403333333333332
4,0,5,1.0,16.046666666666667
6,0,9,1.0,22.058333333333334
9,2,1,0.75,24.595
7,6,0,0.333,29.60333333333333
4,0,9,0.333,25.65
7,1,4,0.5,25.333333333333332
7,1,3,0.429,25.748333333333335
10,0,0,0.571,19.225
7,0,1,0.6,13.7
0,1,4,0.0,23.07
2,1,2,0.25,34.483333333333334
3,1,3,0.5,11.433333333333334
5,0,0,0.286,13.87
2,0,3,0.5,9.903333333333334
4,0,2,0.5,24.966666666666665
2,0,1,0.5,10.013333333333334
0,0,2,0.0,3.1216666666666666
0,0,1,0.0,8.641666666666667
0,0,0,0.0,0.325
30,1,3,0.611,31.211666666666666
20,12,4,0.583,29.538333333333334
23,3,7,0.556,28.116666666666667
11,9,11,0.5,28.128333333333334
21,0,5,0.571,22.316666666666666
11,4,7,0.455,32.91166666666667
10,2,7,0.333,25.933333333333334
11,4,4,0.375,29.8
10,8,1,0.417,27.75
15,2,1,0.667,12.533333333333333
8,4,4,0.333,28.245
6,0,8,0.5,11.726666666666667
6,1,6,0.286,19.921666666666667
7,2,4,0.273,24.883333333333333
4,2,3,0.0,18.916666666666668
6,3,4,0.5,15.7
9,1,0,0.5,12.0
7,0,5,1.0,8.733333333333333
5,2,4,0.5,12.0
3,1,2,0.25,9.716666666666667
2,0,1,0.25,12.0
0,1,1,0.0,8.733333333333333
0,3,0,0.0,8.483333333333333
2,0,1,0.0,9.25
0,0,2,0.0,8.733333333333333
0,0,0,0.0,2.716666666666667
25,4,3,0.529,30.065
23,2,6,0.467,24.166666666666668
15,0,3,0.444,26.616666666666667
12,4,10,0.143,32.33166666666666
12,4,4,0.5,28.95
15,2,5,0.5,27.001666666666665
16,0,7,0.583,32.515
13,3,3,0.429,30.201666666666668
5,2,7,0.2,23.616666666666667
15,1,1,0.556,29.883333333333333
2,4,7,1.0,21.583333333333332
7,3,7,0.143,19.333333333333332
6,2,8,0.75,16.383333333333333
8,3,2,1.0,12.0
5,0,4,0.667,21.35
6,0,4,1.0,5.0
4,2,1,1.0,8.6
2,2,2,0.2,17.5
3,1,0,1.0,5.0
3,0,1,0.25,12.651666666666667
3,0,1,0.2,8.4
3,0,0,0.25,13.416666666666666
3,0,0,1.0,10.033333333333333
0,0,0,0.0,8.4
2,0,0,0.0,5.0
0,0,1,0.0,5.0
0,0,0,0.0,5.0
30,5,23,0.579,43.833333333333336
25,8,12,0.444,37.675
30,2,5,0.526,39.46666666666667
22,4,11,0.375,40.093333333333334
27,3,6,0.417,37.50833333333333
10,5,23,0.455,29.481666666666666
14,9,11,0.364,32.5
25,4,3,0.36,37.45
22,1,8,0.533,38.03666666666667
21,6,0,0.467,29.915
24,3,3,0.471,38.18333333333333
19,6,3,0.474,32.93333333333333
21,5,2,0.412,40.8
15,6,8,0.5,38.1
19,3,2,0.5,31.2
6,7,4,0.333,33.86666666666667
8,2,6,0.286,25.783333333333335
15,0,6,0.429,33.721666666666664
17,1,1,0.583,25.0
6,6,4,0.333,31.116666666666667
10,3,5,0.444,38.53333333333333
3,1,9,0.5,26.0
8,1,6,0.222,23.633333333333333
9,2,1,0.333,20.626666666666665
6,0,5,0.667,20.713333333333335
5,2,3,0.667,15.336666666666666
0,2,3,0.0,12.186666666666667
3,0,3,0.333,25.85
6,1,1,1.0,11.3
6,0,0,0.5,7.751666666666667
2,2,3,0.333,12.051666666666666
6,0,1,0.429,9.286666666666667
3,0,0,0.5,12.156666666666666
2,0,1,1.0,7.35
0,1,1,0.0,6.066666666666666
0,0,2,0.0,4.166666666666667
0,0,1,0.0,10.325
39,5,16,0.567,41.266666666666666
39,5,11,0.56,43.75
45,6,1,0.567,39.35
35,6,5,0.483,44.666666666666664
24,3,8,0.37,44.38333333333333
26,2,1,0.417,35.8
23,4,6,0.8,41.63333333333333
18,3,5,0.5,41.6
10,2,13,0.75,37.36833333333333
17,2,1,0.6,24.62
14,4,8,0.7,33.016666666666666
20,3,3,0.563,33.85
11,3,6,0.625,30.05
14,2,5,0.833,41.09
16,1,1,0.625,39.016666666666666
10,8,4,0.2,39.19166666666667
12,7,3,0.571,35.25333333333333
8,6,5,0.4,25.383333333333333
9,1,4,0.4,24.651666666666667
6,0,7,1.0,19.766666666666666
5,1,4,0.286,23.281666666666666
2,1,4,0.333,15.716666666666667
4,3,2,0.2,27.133333333333333
0,1,5,0.0,36.60333333333333
0,2,6,0.0,25.618333333333332
2,1,1,0.143,16.7
2,0,4,0.5,9.566666666666666
3,1,1,0.333,13.445
2,0,3,0.5,15.785
0,0,1,0.0,5.416666666666667
2,1,0,0.333,21.65
0,1,0,0.0,4.55
0,0,1,0.0,11.213333333333333
0,0,1,0.0,11.215
0,0,0,0.0,4.013333333333334
0,0,0,0.0,2.3833333333333333
50,6,8,0.526,37.665
26,7,9,0.5,39.833333333333336
25,4,11,0.5,43.44
18,6,5,0.417,29.983333333333334
22,7,8,0.625,37.395
25,7,5,0.478,40.05
11,4,21,0.8,30.876666666666665
20,5,2,0.375,33.233333333333334
18,0,8,0.467,31.166666666666668
16,6,3,0.263,37.07333333333333
17,2,7,0.313,37.04
14,4,9,0.286,31.1
8,8,6,0.429,37.96666666666667
16,2,8,0.538,37.233333333333334
7,0,14,1.0,33.63333333333333
10,4,8,0.417,43.2
14,3,3,0.455,25.69333333333333
16,1,5,0.211,34.86666666666667
7,0,9,0.222,28.233333333333334
10,1,7,0.5,27.518333333333334
9,1,5,0.375,30.95
9,4,5,0.429,16.216666666666665
8,3,2,0.5,23.393333333333334
8,2,3,0.333,19.15
9,1,2,0.333,27.283333333333335
2,1,3,0.5,16.263333333333332
6,0,7,0.4,20.55
2,1,2,1.0,14.366666666666667
5,0,0,0.667,15.093333333333334
4,0,0,0.333,10.466666666666667
3,1,2,1.0,8.428333333333333
5,0,0,0.5,2.65
1,0,1,0.0,8.25
4,0,0,0.25,13.56
1,0,1,0.0,2.65
2,0,0,0.5,4.8
0,1,0,0.0,12.5
0,0,1,0.0,2.65
0,0,1,0.0,2.65
1,0,0,0.0,8.276666666666667
0,0,0,0.0,2.65
34,9,5,0.542,36.81666666666667
